country,city,longitude,latitude
Bulgaria,Yambol,26.5331057,42.4865907
Croatia,Rezovac,17.4116835,45.8060242
Bulgaria,Dolna Banya,23.7647948,42.3106792
Greece,Rodotópi,20.7237136,39.7083252
France,Blois,1.3155028,47.594843
France,Grenoble,5.7218985,45.1934857
France,Bondoufle,2.406265,48.6169664
Greece,Katoúna,20.7067845,38.7811142
Greece,Zográfos,23.7617382,37.9768245
France,Épinal,6.4140214,48.2576572
France,Saumur,-0.071593,47.2305176
Ireland,Rathnew,-6.374155,53.3223974
France,Metz,6.1807997,49.116169
Greece,Áyios Vasílios,22.8003951,37.7937857
Greece,Mýrina,25.063448,39.875265
France,Le Blanc-Mesnil,2.4888946,48.9475246
France,Eaubonne,2.2868727,48.9897895
France,Angers,-0.5572458,47.4441206
Greece,Pefkochóri,23.6140148,39.9880319
France,Paris 15,2.2582125,48.8466523
Croatia,Plaški,15.3692353,45.0775463
France,Sens,3.2995005,48.1903349
France,Labège,1.5693759,42.7981285
France,Mougins,7.0125073,43.6167837
Greece,Provatás,23.633333,41.1
Greece,Kampánis,22.9175369,40.8890204
France,Longjumeau,2.3491182,48.6939078
Greece,Próchoma,22.6698436,40.7996662
France,Arras,2.7425682,50.2837307
France,Pontarlier,6.3333882,46.907884
France,Besançon,5.970378,47.304702
Greece,Ágios Athanásios,22.7279233,40.7165064
France,Melun,2.6780176,48.5129473
France,Décines-Charpieu,4.969422,45.7593122
Italy,Trieste,13.7829495,45.6479728
Greece,Ampelákia,23.5280223,37.9510555
Greece,Gaïtánion,20.874871,37.7881713
France,Saint-Lô,-1.0793373,49.0993758
France,Lyon,1.9038837,43.0429124
France,Arles,4.6337414,43.6575957
Greece,Kolchikón,23.1342184,40.7576842
Italy,Laspezia,9.8216043,44.1034593
France,Épinal,6.4788333,48.1967872
Greece,Karátoulas,22.1773357,37.4703686
France,Aubenas,3.9996505,44.2136985
Greece,Velestíno,22.7451966,39.3809141
France,Mazamet,2.3764372,43.4899263
Belgium,Namur,4.9246444,50.4198861
Greece,Argithéa,21.538589,39.3552067
Croatia,Gradići,16.0378191,45.7058849
Greece,Lékhaio,22.8455989,37.9346483
France,Moret-sur-Loing,2.683461,48.319875
France,Noyelles-sous-Lens,2.8830762,50.4217341
Spain,Lleida,0.6251541,41.6543565
Spain,Pontevedra,-8.5995773,42.4385891
Greece,Ampelákia,23.5280223,37.9510555
Ireland,Bundoran,-8.2817353,54.4771768
France,Port-de-Bouc,4.976862,43.418787
France,Chambéry,5.8930389,45.590443
France,Chantilly,2.6981496,47.3036891
France,Orléans,2.8002946,47.3591366
Greece,Kéfalos,26.9591755,36.7445146
France,Chilly-Mazarin,2.3056035,48.7037515
Greece,Marína,22.1007382,40.6919067
Greece,Agía Foteiní,22.0009405,40.7134512
France,Saint-Louis,7.4839022,47.6329545
France,Nantes,-1.5411258,47.2014677
France,Avignon,4.804022,43.952499
Greece,Áno Sýros,24.9353935,37.4498962
Bulgaria,Rakitovo,24.1082622,42.0256471
France,Bonneuil-sur-Marne,2.5030826,48.7717343
Greece,Rodotópi,20.7237136,39.7083252
Greece,Pélla,22.1430215,40.9148039
Italy,Genova,8.7866738,44.4421587
Bulgaria,Medovene,26.5290794,43.7728532
France,Paris 07,5.8978018,43.4945737
France,Orly aérogare,2.3694452,48.7282419
France,Mont-de-Marsan,-0.5046003,43.884893
France,Moret-sur-Loing,2.683461,48.319875
France,Dieppe,1.1433823,49.8683919
Hungary,Pécs,18.2320497,46.0759677
France,Aurillac,2.4396467,44.9263486
France,Strasbourg,7.7459273,48.5597333
Croatia,Drenova,14.6312922,45.0247038
Ireland,Dungarvan,-6.1822287,53.3788495
France,La Gacilly,-2.1084626,47.7809616
Bulgaria,Kotel,26.44965,42.8867657
France,Paris 12,5.8978018,43.4945737
France,Marcq-en-Barœul,3.0751792,50.667396
France,Tours,5.534063,45.70734
France,Woippy,6.1200844,49.1698106
Greece,Fteliá,24.1908648,41.0828211
Germany,Leipzig,12.3634475,51.3383504
Bulgaria,Pŭrvomaytsi,25.65,43.15
France,Arras,2.7425682,50.2837307
Italy,Messina,15.5532993,38.2305534
Ireland,Cashel,-7.888894,52.516323
France,Firminy,4.287114,45.3875142
France,Toulouse,1.3412205,43.6504207
Greece,Keratéa,23.9763412,37.8071796
France,Orléans,2.8002946,47.3591366
France,Roissy Charles-de-Gaulle,2.5479245,49.0096906
Germany,Saarbrücken,7.0075837,49.2088164
Greece,Ellinikó,23.7435107,37.8889396
France,Paris La Défense,2.2372792,48.890054
France,Lorient,4.9157564,44.8671415
Croatia,Makarska,17.0215239,43.2937769
Greece,Elaiochóri,24.2429692,40.8207633
Greece,Neochóri,23.2207655,39.3046388
France,Cergy-Pontoise,2.080691,49.03201
Greece,Gargaliánoi,21.6379278,37.0654883
Greece,Ávato,24.8064244,40.9632212
France,Roissy Charles-de-Gaulle,2.5479245,49.0096906
France,Mérignac,-2.0532343,47.9544744
France,Nantes,-1.5401497,47.2550409
Greece,Féres,26.1722017,40.8942408
France,Clisson,-1.2821339,47.0799211
France,Roissy Charles-de-Gaulle,2.5479245,49.0096906
France,Ajaccio,0.813275,46.6473105
France,Lavaur,1.7811783,43.974344
Croatia,Petrijevci,18.5215008,45.6438305
France,Rueil-Malmaison,2.166848,48.8708001
France,Nantes,-1.5401497,47.2550409
Greece,Yimnón,23.8850944,38.4391281
Germany,Hannover,9.6890537,52.3723858
France,Montceau-les-Mines,4.3642884,46.6750305
Croatia,Galovac,16.8524058,45.8440218
France,Lyon,1.9038837,43.0429124
Greece,Péfki,23.7946578,38.0625172
France,Marseille,2.511999,43.7441795
France,Bourges,1.206057,47.6632745
France,Lillers,2.4609362,50.5540427
Hungary,Sopron,16.5847329,47.675717
France,Massy,4.6072477,46.4830794
United Kingdom,Wirral,-3.1605843,53.3758568
Greece,Ágios Athanásios,22.7279233,40.7165064
France,Créteil,2.4549884,48.7803815
United Kingdom,Kirkton,-4.031512,57.961476
Spain,Santa Cruz De Tenerife,-16.2845785,28.4391484
France,Nanterre,2.2829955,48.9098794
Spain,Vitoria-Gasteiz,-2.6722992,42.8436672
Germany,Kiel,10.0477345,54.3171885
France,Nantes,-1.5401497,47.2550409
France,Grenoble,5.7286053,45.1903117
France,Nanterre,2.2829955,48.9098794
Greece,Pyrgetós,22.595535,39.9179113
France,Metz,6.1807997,49.116169
United Kingdom,Aberdeen,-2.2508745,56.968436
France,Chalon-sur-Saône,4.936847,46.7251598
France,Longwy,5.6944757,49.5048872
France,Dieppe,1.1433823,49.8683919
France,Arbois,5.3378155,43.4903429
Greece,Stírion,22.71667,38.4
Croatia,Ljubešćica,16.4207632,46.1554974
Greece,Ouranoupolis,23.9813901,40.3258678
France,Bobigny,2.8898334,49.4648362
Ireland,Kildare,-6.9140788,53.169971
United Kingdom,Langley,-0.23924,51.888151
Ireland,Macroom,-8.958931,51.904635
France,Montauban,1.378056,44.025555
France,La Roche-sur-Yon,-1.4087525,46.6678978
France,Rambouillet,1.8015218,48.6463593
France,Caen,-0.3907558,49.1931313
Croatia,Varaždin,16.3366066,46.305746
Germany,Mönchengladbach,6.4449432,51.1329676
Greece,Mikrókampos,22.7755938,40.8403439
Greece,Diavatós,22.2682863,40.5463267
France,Haguenau,7.7825969,48.8134287
France,Port-de-Bouc,4.976862,43.418787
France,Rennes,-1.695391,48.120484
France,Roissy Charles-de-Gaulle,2.5479245,49.0096906
France,Auch,0.5815411,43.6297603
France,Perpignan,2.0376775,43.6943099
France,Nîmes,4.3662321,43.8324929
Greece,Methóni,21.7063018,36.8199022
Greece,Nidri,20.7141164,38.7099952
France,Guingamp,-4.1927331,47.9103088
France,Rennes,-1.7128603,48.1164447
Greece,Mikrókampos,22.7755938,40.8403439
Greece,Kálamos,20.9089378,38.6218706
Croatia,Drenova,14.6312922,45.0247038
Spain,Vigo,-8.6848147,42.2390986
Croatia,Buje,13.6589423,45.4082114
Croatia,Marinići,14.3926584,45.3652354
France,Montpellier,-0.8453268,47.3752386
Ireland,Valleymount,-6.3077823,53.3655256
France,Perpignan,2.8797149,42.6962642
Greece,Alivéri,24.0400763,38.4092722
Hungary,Debrecen,21.6379372,47.5341107
Italy,Roma,12.4581209,41.8789317
France,Paris 02,5.8978018,43.4945737
France,Chartres,-0.6297654,45.106849
France,Rennes,-1.235807,47.9434065
France,Paris 04,5.8978018,43.4945737
Greece,Erétria,23.7930669,38.3927202
Greece,Néa Karyá,24.7069091,40.9063009
Germany,Berlin,13.4815474,52.4609077
France,Saint-Quentin,3.3651417,49.8990161
Germany,Hamburg Bramfeld,10.0852568,53.607925
Croatia,Cernik,14.5032137,45.3481651
France,La Rochelle,5.2893597,47.9318074
France,Annecy,6.1266746,45.922009
Croatia,Brezovica,17.5621055,45.8618299
Spain,Pontevedra,-8.6463086,42.4423768
Bulgaria,Gorichevo,26.4498912,43.8484382
Spain,"Palmas De Gran Canaria, Las",-15.4287738,28.1236316
Croatia,Lopar,14.7318165,44.8278003
United Kingdom,Newbiggin,-2.0871107,54.9418362
Ireland,Blessington,-8.5111664,51.8858819
France,Privas,4.5991033,44.7352635
Bulgaria,Byala,27.7900409,42.8494142
Greece,Karítsa,22.7619237,39.8435737
France,Strasbourg,7.6370168,48.5347071
France,Bobigny,2.8898334,49.4648362
France,Palaiseau,2.2186743,48.7057309
Bulgaria,Zlatograd,25.5327587,41.9310069
France,Épinal,6.4140214,48.2576572
Germany,Halle,11.9027428,51.4790619
Bulgaria,Chelopech,24.0846607,42.6995493
Greece,Vrilissia,23.831904,38.0329785
France,Paris 17,5.8978018,43.4945737
France,Salon-de-Provence,5.1190026,43.5958543
Croatia,Bilice,17.8291657,45.2581286
Spain,Leon,-5.6195112,42.5944931
France,Cergy-Pontoise,2.0875699,49.0337974
Bulgaria,Brusartsi,23.0759947,43.6652083
France,Limoges,3.5276642,45.521519
France,Saint-Ouen,-1.1457859,46.5993244
Ireland,Ballymahon,-7.7655701,53.5650926
Croatia,Slatina,16.3852937,45.9589716
France,Clermont-Ferrand,3.1331436,45.788378
Greece,Pefkochóri,23.6140148,39.9880319
France,Montceau-les-Mines,4.3642884,46.6750305
France,Mende,3.5333133,44.5394324
United Kingdom,Birmingham,-1.8886845,52.4608207
United Kingdom,Whitchurch,-2.5573746,51.4057505
France,Nantes,-1.5419505,47.2174874
Hungary,Zalaegerszeg,16.847761,46.8442339
Italy,Messina,15.491758,38.0918968
France,Saint-Chamond,4.5014237,45.4699386
France,Paris 09,5.8978018,43.4945737
France,Aurillac,2.4396467,44.9263486
France,Colmar,7.3469006,48.0724737
France,Blaye,-0.662941,45.126841
Greece,Néa Vrasná,23.652122,40.7046234
France,Pontarlier,6.3333882,46.907884
Ireland,Midleton,-8.1722173,51.9138694
Germany,Osnabrück,8.0495294,52.2415583
France,Clermont-Ferrand,3.103119,45.0386871
Belgium,Momignies,4.1638985,50.0109884
France,Lille,3.086469,50.5429237
Spain,Lleida,0.5588787,41.6247751
Spain,"Coruña, A",-8.434873,43.3216087
Greece,Asopós,22.8545674,36.7312876
Ireland,Dungarvan,-6.1822287,53.3788495
France,Marseille,5.3563232,43.2894617
Croatia,Stobreč,16.5237792,43.5039342
France,Guérande,-1.7442022,47.4861398
France,Lille,2.0308233,44.1675867
France,Plérin,-2.7586364,48.529165
Greece,Spárti,22.430264,37.074461
France,Paris 13,5.8978018,43.4945737
Bulgaria,Gulyantsi,24.7458579,43.5370504
France,Saint-Quentin,3.3651417,49.8990161
France,Gentilly,2.845761,44.478341
France,Brest,-4.1166788,48.6059152
Germany,Berlin,13.2385645,52.5485032
France,Montceau-les-Mines,4.3642884,46.6750305
Greece,Xylaganí,25.4219873,40.9765733
France,Nice,7.261933,43.704612
Bulgaria,Rakitovo,24.1082622,42.0256471
United Kingdom,Newbiggin,-2.0871107,54.9418362
France,Créteil,2.4549884,48.7803815
United Kingdom,Bradford,-1.7937455,53.7832102
France,Laval,-0.7609009,48.0762327
Greece,Vári,23.802873,37.8334351
Italy,Laspezia,9.8292338,44.1313751
Belgium,Bruxelles,4.3766927,50.8235717
France,Brignoles,4.0664945,44.3543084
France,Arras,2.7425682,50.2837307
Greece,Agkathiá,22.4712129,40.5555236
France,Montpellier,3.8626074,43.6121586
Germany,Berlin,13.2962036,52.4767935
France,Vesoul,6.2194418,47.6022755
Greece,Kallithéa,23.7020975,37.955893
United Kingdom,Kingston,-2.355369,50.887101
Croatia,Lovas,19.1825632,45.2191483
Bulgaria,Chelopech,24.0846607,42.6995493
France,Rennes,-1.695391,48.120484
Greece,Eleftheroúpolis,24.2547455,40.9156544
France,Saint-Ouen,-1.1457859,46.5993244
United Kingdom,Langley,-0.23924,51.888151
France,Rungis,2.3508225,48.7700185
Greece,Néa Magnisía,22.8426988,40.6875315
France,Paris 19,5.8978018,43.4945737
Greece,Náousa,22.0688549,40.6294406
France,Lille,3.086469,50.5429237
Croatia,Zagreb,15.9513163,45.7307005
France,Rennes,-1.7128603,48.1164447
Bulgaria,Sofia,23.3245641,42.6978209
France,Lyon,1.9038837,43.0429124
France,Colombes,2.2593884,48.923882
France,Redon,-2.0882566,47.6519866
Bulgaria,Kiten,27.7702053,42.2342735
Ireland,Donnycarney,-6.218069,53.374266
Greece,Fílla,23.6824627,38.4415297
Croatia,Preko,15.1873478,44.0803302
Ireland,Bagenalstown,-6.9692181,52.7009338
Greece,Áno Kómi,21.8296162,40.2259198
France,Trélissac,0.7423124,45.1905186
Greece,Melíti,21.581667,40.83
United Kingdom,Langley,-0.23924,51.888151
Italy,Villanova,9.9968284,45.026845
France,Istres,4.9789041,43.4988397
Germany,Duisburg,6.6518329,51.3948213
France,Noyon,1.0859715,49.145018
France,Remiremont,6.535628,48.0515029
France,Marseille,2.511999,43.7441795
France,Libourne,-0.2363562,44.9158731
Croatia,Višnjevac,16.9295441,45.9724452
France,Toulouse,1.495596,43.609798
France,Les Sables-d'Olonne,-1.7557702,46.4846074
Greece,Varybóbi,23.78729,38.12723
Greece,Tílisos,25.0182231,35.2970392
Ireland,Birr,-7.9139891,53.0949398
France,Oyonnax,5.653268,46.259611
Croatia,Hvar,16.4411136,43.1729478
France,Vitry-sur-Seine,2.3884283,48.7885683
France,Chilly-Mazarin,2.3056035,48.7037515
France,Orléans,2.8002946,47.3591366
Croatia,Jakšić,17.7640023,45.3579767
Ireland,Trá Mhór,-9.0197835,53.2736466
Greece,Gérakas,23.8548387,38.0117509
France,Caen,-0.3907558,49.1931313
France,Vedène,4.9052738,43.9763746
Germany,Bremen,8.7398289,53.132048
Greece,Ágios Vasíleios,24.4523968,35.2452552
United Kingdom,Milton,-0.934063,53.248446
France,Ajaccio,0.813275,46.6473105
France,Paris 12,5.8978018,43.4945737
France,Fontenay-sous-Bois,2.4836829,48.853463
Bulgaria,Kiten,27.7702053,42.2342735
Greece,Mýrina,25.063448,39.875265
France,Saint-Maurice,5.8147664,43.8006906
Italy,Perugia,12.3764587,43.1074675
France,Paris 11,2.3237084,48.8610504
Spain,Torrevieja,-0.6867939,38.0294026
France,Boulogne-Billancourt,2.2372823,48.830394
France,Neuilly-sur-Seine,2.2760839,48.8809869
France,Caen,-0.3907558,49.1931313
Spain,Albacete,-2.5498208,38.5928606
Greece,Itéa,22.4259628,38.4324927
Greece,Aráchova,22.5843667,38.4800003
Croatia,Preko,15.1873478,44.0803302
Hungary,Debrecen,21.6379372,47.5341107
Greece,Diónysos,23.8790184,38.0987438
Croatia,Višnjevac,16.9295441,45.9724452
Austria,St. Anton an der Jeßnitz,15.2299747,48.0147763
France,Villeneuve-sur-Lot,0.7060015,44.4103234
Spain,Toledo,-4.0414005,39.873363
France,Bordeaux,0.964671,45.697904
Greece,Rodolívos,23.9742039,40.9201953
France,Maisons-Alfort,2.4347009,48.8039832
